loan_id,application_date,age,annual_income,employment_years,loan_amount,tenure_months,interest_rate_pct,credit_score,dti_pct,prior_delinquencies,collateral_value,ltv_pct,dependents,purpose,employment_type,region,existing_loans,monthly_obligations,days_past_due,default_flag,npa_flag,risk_score,risk_band,pd_estimate
LN103286,2023-01-01,35,69900,11.2,351000,48,12.54,605,16.4,0,270000,130.0,0,Personal,Salaried,West,0,9336.51,10,0,0,29.25,Moderate,0.0763
LN100345,2023-01-01,40,145200,6.7,265000,72,11.62,731,15.2,1,440000,60.2,1,Home,Salaried,West,2,5128.58,0,0,0,20.69,Low,0.0105
LN104461,2023-01-02,55,63700,7.0,657000,48,12.9,791,40.3,0,718000,91.5,2,Auto,Salaried,West,0,17593.07,5,0,0,20.33,Low,0.0138
LN104079,2023-01-02,35,29000,6.1,208000,36,8.96,812,56.0,0,242000,86.0,0,Home,Self-employed,North,2,6610.47,0,0,0,25.15,Moderate,0.0313
LN103074,2023-01-02,31,24000,11.2,632000,60,14.1,648,8.3,0,643000,98.3,0,Home,Self-employed,Central,2,14738.32,15,0,0,25.52,Moderate,0.035
LN104820,2023-01-03,37,74900,2.5,613000,60,13.2,726,44.9,1,900000,68.1,4,Home,Salaried,South,0,14010.47,0,0,0,24.35,Low,0.0263
LN104846,2023-01-03,21,73900,5.0,158000,84,11.29,757,23.1,0,256000,61.7,2,Education,Salaried,North,3,2729.5,0,0,0,20.71,Low,0.011
LN104912,2023-01-03,45,46100,13.7,183000,48,13.04,683,39.6,0,242000,75.6,0,Home,Self-employed,Central,2,4913.07,0,0,0,27.65,Moderate,0.0466
LN100729,2023-01-04,31,63400,7.3,960000,72,8.51,739,38.3,0,1379000,69.6,0,Personal,Self-employed,Central,3,17071.98,0,0,0,25.5,Moderate,0.0343
LN100905,2023-01-04,38,54000,7.0,652000,72,14.36,628,33.6,0,792000,82.3,4,Personal,Salaried,West,1,13560.95,0,0,0,28.37,Moderate,0.0608
LN104844,2023-01-05,48,52900,11.9,548000,84,12.87,645,44.6,2,641000,85.5,1,Education,Salaried,South,2,9930.51,0,0,0,35.66,Moderate,0.1112
LN104843,2023-01-05,37,35600,5.1,1510000,24,12.43,743,39.4,3,2093000,72.1,0,Personal,Salaried,Central,3,71384.54,0,0,0,31.75,Moderate,0.0532
LN102472,2023-01-05,31,35900,1.3,884000,48,10.57,774,32.8,1,663000,133.3,4,Auto,Government,East,2,22663.28,10,0,0,29.25,Moderate,0.0492
LN101787,2023-01-05,31,37700,29.0,482000,36,6.5,701,30.0,0,692000,69.7,3,Home,Self-employed,Central,0,14772.82,0,0,0,20.86,Low,0.0143
LN100112,2023-01-06,39,63800,15.4,912000,48,10.98,816,28.1,2,787000,115.9,3,Auto,Salaried,East,1,23562.26,10,0,0,24.68,Low,0.0171
LN101676,2023-01-06,49,66000,12.0,545000,36,7.88,686,32.2,0,476000,114.5,0,Business,Salaried,South,3,17048.16,10,0,0,31.57,Moderate,0.0743
LN102706,2023-01-07,39,138500,12.7,747000,48,9.94,772,24.7,0,489000,152.8,0,Education,Salaried,North,1,18924.33,0,0,0,25.74,Moderate,0.0315
LN100687,2023-01-07,35,51200,9.1,418000,84,10.62,783,33.5,0,559000,74.8,2,Education,Salaried,East,2,7073.93,60,1,0,21.06,Low,0.0122
